config,alpha_vector,dataset,seq_len,pred_len,seed,best_validation_loss,best_epoch,test_mse,test_mae,delta_mse_vs_F0,delta_mae_vs_F0,finite,checkpoint_path,git_sha,reused,source_stage
F0,"0.02,0.02,0.02,0.02",ETTh1,96,192,2021,0.9682195,4,0.424509704113007,0.426906764507294,,,true,Stage06_reused/long_term_forecast_ETTh1_96_192_Stage06_B_fixed_selected_a0p02_ema_a0p02_seed2021_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage06_B_fixed_selected_a0p02_ema_a0p02_pl192_Seed2021_0/checkpoint.pth,91735a83b27ce1bf766df76a953cf86ef1e7500d,true,Stage 06
F0,"0.02,0.02,0.02,0.02",ETTh1,96,192,2022,0.9712348,4,0.430106908082962,0.429674327373505,,,true,Stage06_reused/long_term_forecast_ETTh1_96_192_Stage06_B_fixed_selected_a0p02_ema_a0p02_seed2022_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage06_B_fixed_selected_a0p02_ema_a0p02_pl192_Seed2022_0/checkpoint.pth,91735a83b27ce1bf766df76a953cf86ef1e7500d,true,Stage 06
F0,"0.02,0.02,0.02,0.02",ETTh1,96,192,2023,0.9848701,10,0.42610689997673,0.428973615169525,,,true,Stage06_reused/long_term_forecast_ETTh1_96_192_Stage06_B_fixed_selected_a0p02_ema_a0p02_seed2023_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage06_B_fixed_selected_a0p02_ema_a0p02_pl192_Seed2023_0/checkpoint.pth,91735a83b27ce1bf766df76a953cf86ef1e7500d,true,Stage 06
P1,"0.02,0.0396,0.02,0.02",ETTh1,96,192,2021,0.9700923,4,0.42458024621009827,0.42803287506103516,0.00007054209709128623,0.0011261105537411775,true,Stage065_artifact/long_term_forecast_ETTh1_96_192_Stage065_P1_seed2021_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage065_P1_seed2021_0/checkpoint.pth,785f43d66cc96d42a62980c7fd27d9c764a11bb7,false,Stage 06.5
P1,"0.02,0.0396,0.02,0.02",ETTh1,96,192,2022,0.9773775,4,0.42963340878486633,0.4303939938545227,-0.0004734992980956476,0.0007196664810176778,true,Stage065_artifact/long_term_forecast_ETTh1_96_192_Stage065_P1_seed2022_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage065_P1_seed2022_0/checkpoint.pth,785f43d66cc96d42a62980c7fd27d9c764a11bb7,false,Stage 06.5
P1,"0.02,0.0396,0.02,0.02",ETTh1,96,192,2023,0.9803316,10,0.4269965887069702,0.42912769317626953,0.0008896887302402012,0.0001540780067445513,true,Stage065_artifact/long_term_forecast_ETTh1_96_192_Stage065_P1_seed2023_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage065_P1_seed2023_0/checkpoint.pth,785f43d66cc96d42a62980c7fd27d9c764a11bb7,false,Stage 06.5
P2,"0.02,0.02,0.07763184,0.02",ETTh1,96,192,2021,0.9739852,4,0.42547330260276794,0.4275031089782715,0.000963598489760964,0.0005963444709775056,true,Stage065_artifact/long_term_forecast_ETTh1_96_192_Stage065_P2_seed2021_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage065_P2_seed2021_0/checkpoint.pth,785f43d66cc96d42a62980c7fd27d9c764a11bb7,false,Stage 06.5
P2,"0.02,0.02,0.07763184,0.02",ETTh1,96,192,2022,0.9804024,4,0.428731232881546,0.4302537441253662,-0.0013756752014159601,0.0005794167518611837,true,Stage065_artifact/long_term_forecast_ETTh1_96_192_Stage065_P2_seed2022_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage065_P2_seed2022_0/checkpoint.pth,785f43d66cc96d42a62980c7fd27d9c764a11bb7,false,Stage 06.5
P2,"0.02,0.02,0.07763184,0.02",ETTh1,96,192,2023,0.9880378,10,0.4252055883407593,0.4291883409023285,-0.0009013116359707363,0.00021472573280351126,true,Stage065_artifact/long_term_forecast_ETTh1_96_192_Stage065_P2_seed2023_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage065_P2_seed2023_0/checkpoint.pth,785f43d66cc96d42a62980c7fd27d9c764a11bb7,false,Stage 06.5
P3,"0.02,0.02,0.02,0.14923698",ETTh1,96,192,2021,0.9694063,4,0.42404985427856445,0.4270707368850708,-0.00045984983444252725,0.00016397237777682205,true,Stage065_artifact/long_term_forecast_ETTh1_96_192_Stage065_P3_seed2021_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Stage065_P3_seed2021_0/checkpoint.pth,785f43d66cc96d42a62980c7fd27d9c764a11bb7,false,Stage 06.5
