config,method,ema_alpha,pred_len,n_seeds,mean_mse,sample_std_mse,mean_mae,sample_std_mae,relative_mse_change_pct_vs_A,relative_mae_change_pct_vs_A
A_moving_avg,moving_avg,,96,3,0.377340396245321,0.00464152151371115,0.397182077169418,0.00331964242871329,0,0
B_fixed_selected_a0p02,ema,0.02,96,3,0.376430561145147,0.000743780486970213,0.395538647969564,0.0014765364531072,-0.241117863135554,-0.413772245607534
C_saema_selected_a0p05,scale_aware_ema,0.05,96,3,0.382012536128362,0.0126251064283444,0.398842444022497,0.00520662879906238,1.23817643950421,0.418036701180239
A_moving_avg,moving_avg,,192,3,0.436167538166046,0.00983458669920071,0.431957523028056,0.000252893596662698,0,0
B_fixed_selected_a0p02,ema,0.02,192,3,0.4269078373909,0.00288327914472106,0.428518235683441,0.00143888113194489,-2.1229688055376,-0.796209618136758
C_saema_selected_a0p05,scale_aware_ema,0.05,192,3,0.44476189215978,0.0157343873639377,0.434779395659765,0.0038668337507957,1.97042494952063,0.653275491517591
A_moving_avg,moving_avg,,336,3,0.480725963910421,0.0143984340360201,0.45170063773791,0.00839157401489188,0,0
B_fixed_selected_a0p02,ema,0.02,336,3,0.479165971279144,0.0081357916558001,0.450089345375697,0.00720328810224812,-0.324507671394908,-0.356716866790889
C_saema_selected_a0p05,scale_aware_ema,0.05,336,3,0.480517874161402,0.0149012377554099,0.451436251401901,0.00997134310883465,-0.0432865633729511,-0.0585313178508574
A_moving_avg,moving_avg,,720,3,0.506334324677785,0.0134492848448083,0.48168675104777,0.00739375267174526,0,0
B_fixed_selected_a0p02,ema,0.02,720,3,0.496695309877396,0.00634562403258156,0.476442356904348,0.00213627079096431,-1.90368583179179,-1.08875615366518
C_saema_selected_a0p05,scale_aware_ema,0.05,720,3,0.497480680545171,0.00163193610183598,0.477241684993108,0.00269086464939887,-1.74857672117101,-0.922812604870935
